R	<21|d/dR|22>	<21|d/dR|23>	<22|d/dR|23>	<24|d/dR|25>	<24|d/dR|26>	<25|d/dR|26>	<27|d/dR|28>	<27|d/dR|29>	<28|d/dR|29>
4	-0.01859161	0.00988285895	0.41873908	-0.01859161	0.00988285895	0.41873908	-0.01859161	0.00988285895	0.41873908
4.1	-0.01630063	0.00768591474	0.37958287	-0.01630063	0.00768591474	0.37958287	-0.01630063	0.00768591474	0.37958287
4.2	-0.01380217	0.0057237644	0.3399891	-0.01380217	0.0057237644	0.3399891	-0.01380217	0.0057237644	0.3399891
4.3	-0.0111792	0.00399445474	0.30202363	-0.0111792	0.00399445474	0.30202363	-0.0111792	0.00399445474	0.30202363
4.4	-0.00850319	0.00248319278	0.26689463	-0.00850319	0.00248319278	0.26689463	-0.00850319	0.00248319278	0.26689463
4.5	-0.00583272	0.00116924152	0.23515386	-0.00583272	0.00116924152	0.23515386	-0.00583272	0.00116924152	0.23515386
4.6	-0.00321407	3.02776059E-5	0.20691578	-0.00321407	3.02776059E-5	0.20691578	-0.00321407	3.02776059E-5	0.20691578
4.7	-6.8187E-4	-9.53887705E-4	0.18203543	-6.8187E-4	-9.53887705E-4	0.18203543	-6.8187E-4	-9.53887705E-4	0.18203543
4.8	0.00173681	-0.00180614417	0.16024332	0.00173681	-0.00180614417	0.16024332	0.00173681	-0.00180614417	0.16024332
4.9	0.00402481	-0.00254258527	0.14121115	0.00402481	-0.00254258527	0.14121115	0.00402481	-0.00254258527	0.14121115
5	0.00617078	-0.00317875383	0.12460806	0.00617078	-0.00317875383	0.12460806	0.00617078	-0.00317875383	0.12460806
5.1	0.00816872	-0.00372818294	0.11012192	0.00816872	-0.00372818294	0.11012192	0.00816872	-0.00372818294	0.11012192
5.2	0.01001684	-0.00420262967	0.09747028	0.01001684	-0.00420262967	0.09747028	0.01001684	-0.00420262967	0.09747028
5.3	0.01171667	-0.00461225327	0.08640378	0.01171667	-0.00461225327	0.08640378	0.01171667	-0.00461225327	0.08640378
5.4	0.01327225	-0.00496584403	0.0767056	0.01327225	-0.00496584403	0.0767056	0.01327225	-0.00496584403	0.0767056
5.5	0.01468943	-0.00527099563	0.06818895	0.01468943	-0.00527099563	0.06818895	0.01468943	-0.00527099563	0.06818895
5.6	0.01597534	-0.00553427005	0.06069383	0.01597534	-0.00553427005	0.06069383	0.01597534	-0.00553427005	0.06069383
5.7	0.01713792	-0.00576134438	0.05408356	0.01713792	-0.00576134438	0.05408356	0.01713792	-0.00576134438	0.05408356
5.8	0.0181856	-0.00595712279	0.04824151	0.0181856	-0.00595712279	0.04824151	0.0181856	-0.00595712279	0.04824151
5.9	0.01912693	-0.00612584267	0.04306813	0.01912693	-0.00612584267	0.04306813	0.01912693	-0.00612584267	0.04306813
6	0.01997046	-0.00627117449	0.03847833	0.01997046	-0.00627117449	0.03847833	0.01997046	-0.00627117449	0.03847833
6.2	0.02139696	-0.00650388132	0.03076826	0.02139696	-0.00650388132	0.03076826	0.02139696	-0.00650388132	0.03076826
6.4	0.02252713	-0.00667577782	0.02464266	0.02252713	-0.00667577782	0.02464266	0.02252713	-0.00667577782	0.02464266
6.6	0.02341577	-0.00680221323	0.01975229	0.02341577	-0.00680221323	0.01975229	0.02341577	-0.00680221323	0.01975229
6.8	0.02410974	-0.00689468526	0.01583377	0.02410974	-0.00689468526	0.01583377	0.02410974	-0.00689468526	0.01583377
7	0.02464832	-0.00696183648	0.01268607	0.02464832	-0.00696183648	0.01268607	0.02464832	-0.00696183648	0.01268607
7.2	0.02506389	-0.00701018089	0.0101539	0.02506389	-0.00701018089	0.0101539	0.02506389	-0.00701018089	0.0101539
7.4	0.02538285	-0.00704463776	0.00811595	0.02538285	-0.00704463776	0.00811595	0.02538285	-0.00704463776	0.00811595
7.6	0.0256265	-0.00706892328	0.0064764	0.0256265	-0.00706892328	0.0064764	0.0256265	-0.00706892328	0.0064764
7.8	0.02581186	-0.00708582779	0.00515877	0.02581186	-0.00708582779	0.00515877	0.02581186	-0.00708582779	0.00515877
8	0.02595243	-0.00709743572	0.0041015	0.02595243	-0.00709743572	0.0041015	0.02595243	-0.00709743572	0.0041015
8.2	0.02605874	-0.00710528635	0.00325472	0.02605874	-0.00710528635	0.00325472	0.02605874	-0.00710528635	0.00325472
8.4	0.02613901	-0.00711050126	0.00257784	0.02613901	-0.00711050126	0.00257784	0.02613901	-0.00711050126	0.00257784
8.6	0.02619951	-0.00711388715	0.00203783	0.02619951	-0.00711388715	0.00203783	0.02619951	-0.00711388715	0.00203783
8.8	0.02624505	-0.00711601538	0.00160784	0.02624505	-0.00711601538	0.00160784	0.02624505	-0.00711601538	0.00160784
9	0.02627927	-0.00711728752	0.00126605	0.02627927	-0.00711728752	0.00126605	0.02627927	-0.00711728752	0.00126605
9.2	0.02630492	-0.00711798088	9.9484E-4	0.02630492	-0.00711798088	9.9484E-4	0.02630492	-0.00711798088	9.9484E-4
9.4	0.02632408	-0.0071182887	7.8002E-4	0.02632408	-0.0071182887	7.8002E-4	0.02632408	-0.0071182887	7.8002E-4
9.6	0.02633833	-0.00711834398	6.102E-4	0.02633833	-0.00711834398	6.102E-4	0.02633833	-0.00711834398	6.102E-4
9.8	0.02634885	-0.00711823893	4.7624E-4	0.02634885	-0.00711823893	4.7624E-4	0.02634885	-0.00711823893	4.7624E-4
10	0.02635658	-0.0071180383	3.7083E-4	0.02635658	-0.0071180383	3.7083E-4	0.02635658	-0.0071180383	3.7083E-4
10.5	0.02637461	-0.007117	2.0449E-4	0.02637461	-0.007117	2.0449E-4	0.02637461	-0.007117	2.0449E-4
11	0.02637264	-0.00711677403	1.0314E-4	0.02637264	-0.00711677403	1.0314E-4	0.02637264	-0.00711677403	1.0314E-4
